"link","спасылка"
"FSFormItem.DcriHelp","Decred/Siacoin/Lbry/Pascal інтэнсіўнасць. Змоўчнае значэнне - 30. Дла PASC раіцца - 10, для SIA - 15. Вялікшыя значэнні негатыўна адаб'юцца на майнінгу Ethash манеты."
"PoolConfigModal.Advanced","Пашыраная налада"
"PoolConfigModal.AdvancedHint","<strong>Будзьце ўважлівыя!</strong> Кожны адрас павінен пачынацца з новага радка"
"PoolConfigModal.PoolUrls","Увядзіце адрасы"
"FS.ConfiguredInMiner","Наладзіць у майнэры"
"AutoFan","AutoFan"
"Token","Токен"
"PageNotFound","Прабачце, гэтая старонка не існуе"
"ConfirmPassword.Message","Увядзіце новы пароль і токен будзе дасланы на ваш email"
"Ethminer.OpenCLCudaHint","Абярыце платформу GPU для карыстання. Звярніце ўвагу, што сумеснае карыстанне OpenCL і CUDA можа прывесці да памылкі. Паспрабуйце выкарыстаць <code> - opencl-platform 1 </code> ці <code> 0 </code> у дадатковых парамэтрах, каб яно працавала."
"AllRedTemps.Hint","Тэмпература, вышэйшая за гэтыя значэнні, будзе пафарбавана чырвоным"
"RedTemp.Hint","Тэмпература, вышэйшая за гэтае значэнне, будзе пафарбавана чырвоным"
"AutoFans.NoAMD","Не кіраваць AMD карткамі, толькі nVIDIA"
"AutoFans.Info","Уключыць кіраванне вентылятарамі. AutoFan будзе падтрымліваць тэмпературы GPU блізу да мэтавай. Па дасягненні крытычнага значэння майнінг будзе спынены. Не забудзцеся адключыць кіраванне вентылятарам у наладах майнэра для картак AMD (дадаць -tt 1)."
"RadeonCardFrom.coreState.text3","ці «Узровень моцы» ядра GPU. Для RX-картак гэта значэнне ад"
"RadeonCardFrom.AggressiveUndervolting","Агрэсіўнае зніжэнне сілкавання (усталёўка OC для кожнага DPM)"
"Settings.VPN","VPN нельга змяніць зараз. Каманда выконваецца"
"VPN.HelpInfo","Файлы будуць названыя наступным чынам, таму сертыфікаты ў client.conf павінны звацца ca.crt, client.crt, client.key. Да таго ж, вы можаце ўстаўляць сертыфікаты ў client.conf і грузіць толькі адзін файл."
"Required filed","Абавязковае поле"
"Promocode","Прома-код"
"GPU","GPU"
"ASICS","ASICs"
"Account Login","Уваход у акаўнт"
"Password changed","Пароль зменены"
"Settings.transferTargetText","Вы ўжо даслалі запыт на перасоўванне ў"
"FarmTempHeader.GPUCriticalTemperature","Крытычная тэмпература GPU"
"Account.AuthenticationTwoFactor1","Зрабіце рэзэрвовую копію гэтага коду! Лепшы варыянт - зрабіць скрыншот і раздрукаваць яго."
"Account.AuthenticationTwoFactor2","Калі вы згубіце код, вы не здолееце аднавіць доступ да ўліковага запісу у выпадку, калі згубіце прыладу, з якой ажыццяўлялася аўтэнтыфікацыя (смартфон, планшэт і г. д...)"
"SelectAmd","Абраць AMD картку"
"Activity","Актыўнасць"
"Access","Доступ"
"Settings","Налады"
"Unsubscribe","Адпісацца"
"File shouldn't be empty","Файл не павінен быць пусты"
"TheLatestActivity","Апошняя актыўнасць"
"Referal.EnterPromocode","Ваш крэатыўны прамакод тут"
"FlightSheetFrom.AddMiner","Калі вам патрэбна некалькі майнэраў"
"Settings.NotificationSubscribe","Вы не падпісаныя"
"OverclockingAlgoFrom.Title1","Рэдагаваць налады разгону"
"OverclockingAlgoFrom.Title2","Канфігурацыя наладаў па разгоне"
"NewWallet","Новы гаманец"
"EditWallet","Рэдагаванне гаманцу"
"Settings.Notifications.AccountLogin","Уваход у акаўнт"
"Settings.Notifications.DetectedWorkerOffline","Воркер у сетцы"
"Settings.Notifications.DetectedWorkerOnline","Воркер па за сеткай"
"Settings.Notifications.WorkerBooted","Воркер загрузіўся"
"Settings.Notifications.ErrorMessages","Паведамленні пра памылкі"
"Settings.Notifications.WarningMessages","Папярэджанні"
"Settings.Notifications.InfoMessages","Інфармацыйныя паведамленні"
"Settings.Notifications.SuccessMessages","Выкананыя без памылак"
"Settings.Notifications.GPUTemp","GPU Temp >= Red Temp + 3°"
"Settings.Notifications.HourlySummary","Штогадзінная справаздача"
