"link","enlace"
"FlightSheetFrom.AddMiner","Si necesita ejecutar varios mineros"
"Settings.NotificationSubscribe","Usted no está suscrito."
"OverclockingAlgoFrom.Title1","Editar configuración de overclocking"
"OverclockingAlgoFrom.Title2","Configure la configuración de overclocking"
"NewWallet","Nueva cartera"
"EditWallet","Editar cartera"
"Settings.Notifications.AccountLogin","Cuenta de Ingreso"
"Settings.Notifications.DetectedWorkerOffline","Minero detectado sin conexión"
"Settings.Notifications.DetectedWorkerOnline","Detectado minero en línea"
"Settings.Notifications.WorkerBooted","Minero arrancado"
"Settings.Notifications.ErrorMessages","Error de mensajes"
"Settings.Notifications.WarningMessages","Mensajes de advertencia"
"Settings.Notifications.InfoMessages","Mensajes de información"
"Settings.Notifications.SuccessMessages","Mensajes de éxito"
"Settings.Notifications.GPUTemp","GPU Temperatura >= Temperatura Roja + 3°"
"Settings.Notifications.HourlySummary","Resumen horario"
"ConfirmTransferToHive.Title","¿Cuánto envío depositar Hive OS?"
"ConfirmTransferToHive.ErrorMessage","No tienes suficiente cantidad"
"FS.ConfirmatioTitle","¡Atención! Esta Hoja de Vuelo se está ejecutando en otros minero"
"FS.ConfirmatioMessage","¿Desea ejecutar como una nueva hoja de vuelo en este minero o actualizar con otros minero?"
"FS.UpdateAll","Actualizar todos los mineros"
"FS.CreateNewFS","Crear nuevos grupo"
"NvidiaCardForm.DelayPill","Demora en segundos antes de ejecutar la píldora"
"NvidiaCardForm.DelayPillHint","Puede ayudar a prevenir errores en algunas tarjetas 1080, intente establecer este valor en 120 y más."
"WorkerSettings.CardsQuantityHint","El número de tarjetas en el minero aumentó automáticamente. Pero si necesita disminuirlos, actualice este parámetro"
"WorkerSettings.CardsQuantityPlaceholder","Ingresar número"
"Cards Quantity","Cantidad de tarjetas"
"WorkerSettings.DisableGUI","Deshabilitar la GUI en el arranque"
"WorkerSettings.DisableGUIHint","No inicie el servidor X, solo la consola, no OC para Nvidia"
"WorkerSettings.Resend","Reenviar todas las configuraciones"
"WorkerSettings.ResendHint","En caso de que el minero no esté sincronizado, puede enviar todos los mineros, OC y otras configuraciones."
"Push","Empuje"
"MinerForm.Template.examples","Ejemplos de plantillas"
"MinerForm.Template.forMost","para la mayoría de las piscinas"
"MinerForm.Template.for","para"
"MinerForm.Template.text1","Para cadena de plantilla correcta, por favor leer su sección de ayuda de la piscina, tienen los detalles de cómo darle formato."
"MinerForm.Template.text2","será sustituido con valores correctos de la cartera."
"MinerForm.Template.text3","será reemplazado con el nombre del minero."
"WDConfig.EnableWatching","Habilite la opción de ver si hay hashrate; si cae por debajo del mínimo, se intentará reiniciar miner."
"WDConfig.RestartNotHelp","Si el reinicio del minero no ayuda, entonces se reiniciará el minero completo."
"WDConfig.On","Hashrate Watchdog Conectado"
"WDConfig.Off","Hashrate Watchdog Apagado"
"WDConfig.SetUsed","Establecer valores para mineros usados"
"WDConfig.SetOther","Establecer valores para otros mineros"
"ConsoleCommand.ShowInfo","mostrar información sobre las tarjetas de Nvidia"
"ConsoleCommand.ShowFreq","muestra las frecuencias actuales para tarjetas AMD"
"ConsoleCommand.LogsRam","registros en la memoria RAM para guardar en memoria flash USB"
"ConsoleCommand.LogsDisk","los registros en el disco, se mantendrán después del reinicio"
"ConsoleCommand.ShowFreqAmd","muestra las frecuencias actuales para tarjetas AMD"
"ConsoleCommand.AmdExtended","muestra información extendida sobre la tarjeta AMD"
"ConsoleCommand.AmdVoltage","muestra la tabla de voltaje para AMD GPU #0"
"ConsoleCommand.SayHello","saluda al servidor nuevamente para actualizar los datos"
"ConsoleCommand.ServiceBoot","mostrar el registro de arranque del servicio de colmena"
"ConsoleCommand.SendReset","enviar el comando 'restablecer' a OpenDev watchdog"
"ConsoleCommand.SendPower","envía el comando 'energía' a OpenDev watchdog"
"ConsoleCommand.GpuScript","script para encontrar GPU haciendo girar los ventiladores"
"Deselect","Deseleccionar"
"Overclocking Profiles","Perfiles de overclocking"
"MinerForm.Url.PoolUrl","URL de la piscina, incluyendo el protocolo y el puerto como"
"MinerForm.Url.ForFailOver","Para las piscinas de conmutación por error simplemente escríbalos en la siguiente línea, el pase se usa uno para todos."
"MinerForm.BminerForm.With","con"
"MinerForm.BminerForm.More","Más"
"MinerForm.Url.ItHas","Tiene el formato de"
"MinerForm.Url.LooksLike","Por ejemplo, parece que"
"MinerForm.Url.Subscribe","si estás usando flypool. Sustituir"
"MinerForm.Url.IfYou","si se conecta a la piscina a través de SSL."
"MinerForm.Url.Examples","Ejemplos de bminer"
"MinerForm.UserConfig.Text1","Ponle parámetros adicionales a la configuración si lo necesitas. Uno en cada línea en el siguiente formato sin comas o puntos al final de la línea. Consulte la configuración generada para ver los valores de configuración disponibles de minero."
"MinerForm.UserConfig.Text2","establecer la frecuencia"
"MinerForm.UserConfig.Text3","modifica el voltaje"
"MinerForm.UserConfig.Text4","métodos disponibles de Miner API"
"MinerForm.BMinerConfig.Text1","Puedes poner aquí algo así como"
"MinerForm.BMinerConfig.Text2","Lista separada por espacios de dispositivos cuda"
"MinerForm.BMinerConfig.Text3","Más opciones aquí"
"MinerForm.BMinerConfig.Text4","Referencia de Bminer"
"MinerForm.Fork.List","Lista detallada de las horquillas es"
"MinerForm.Fork.here","aquí"
"MinerForm.Fork.Run","Ejecutar"
"MinerForm.Fork.Check","para comprobar las actualizaciones de la horquilla."
"MinerForm.Algo.Which","Qué algoritmo usar para minería. por"
"MinerForm.Algo.ItShould","debería ser"
"MinerForm.Algo.Example","por ejemplo"
"MinerForm.InstallUrl.Where","URL donde obtener"
"MinerForm.InstallUrl.Package","paquete. No se descargará si ya está instalado."
"MinerForm.Miner","Este es el nombre del minero instalado. Me gusta"
"MinerForm.CCPoolExtra","Coloque parámetros adicionales a la piscina si lo necesita. Uno en cada línea en el siguiente formato sin comas o puntos al final de la línea. Parámetros de ejemplo"
"MinerForm.CCExtra.Text1","Estos son parámetros adicionales para el minero. Uno en cada línea en el siguiente formato sin comas o puntos al final de la línea. Parámetros de ejemplo"
"MinerForm.CCExtra.Text2","volcado detallado de las actividades de nivel de protocolo"
"MinerForm.CCExtra.Text3","lista separada por comas de dispositivos CUDA para usar"
"MinerForm.CGMInerConf.Text1","Ponle parámetros adicionales a la configuración si lo necesitas. Uno en cada línea en el siguiente formato sin comas o puntos al final de la línea."
"MinerForm.CGMInerConf.Text2","para desactivar el control de los ventiladores"
"MinerForm.CGMInerConf.Text3","Parámetros de ejemplo para Cryptonight"
"MinerForm.CGMInerConf.Text4","Parámetros de ejemplo para Ethash"
"MinerForm.CGMInerConf.Text5","Para ver lo que está mal"
"MinerForm.CGMInerConf.Text6","Seleccione el dispositivo a usar, un valor, rango y / o coma separada (por ejemplo, 0-2,4)"
"MinerForm.CGMinerFork.Text1","Tienes que probar diferentes versiones como cada uno de ellos puede no funcionar con algunos algos o piscinas."
"MinerForm.CGMinerFork.Text2","Además, trate de añadir"
"MinerForm.CGMinerFork.Text3","y"
"MinerForm.CGMinerFork.Text4","Ver en  configuración para revisar el problema y ver más detalles"
"MinerForm.CGMinerFork.Text5","Lista detallada de las horquillas es"
"MinerForm.CGMinerFork.Text6","aquí"
"MinerForm.DpoolTpl.Text1","ejemplo para SIA en nanopool"
"MinerForm.DpoolTpl.Text2","será sustituido con valores correctos de la cartera. Para una cadena de CARTERA correcta, lea la sección de ayuda de su grupo, tienen los detalles sobre cómo formatearla."
"MinerForm.ClaymoreDescr.Text1","Decred/Siacoin/Lbry/Pascal intensidad. El valor predeterminado es 30."
"MinerForm.ClaymoreDescr.Text2","Para PASC, el valor razonable es alrededor de 10, para SIA es alrededor de 15. Los valores más altos causarán un menú desplegable en la extracción de ETH."
"MinerForm.ClaymoreConfig.Text1","Coloque aquí la configuración que desea que aparezca en config.txt de Claymore, UNO EN CADA LÍNEA. Por ejemplo"
"MinerForm.ClaymoreConfig.Text2","configurará los ventiladores al 100%"
"MinerForm.ClaymoreConfig.Text3","establecerá la temperatura objetivo en 65C"
"MinerForm.ClaymoreConfig.Text4","para deshabilitar el control del ventilador"
"MinerForm.ClaymoreConfig.Text5","use GPUs 3, 4, 10, 11"
"MinerForm.ClaymoreConfig.Text6","Por favor refiérase a"
"MinerForm.ClaymoreConfig.Text7","Documentación Claymore"
"MinerForm.ClaymoreConfig.Text8","para otros ajustes"
"MinerForm.CpuMinerConfig.Text1","Ponle parámetros adicionales a la configuración si lo necesitas. Uno en cada línea en el siguiente formato sin comas o puntos al final de la línea. Parámetros de ejemplo"
"MinerForm.CpuMinerConfig.Text2","número de subprocesos de minero (valor predeterminado: número de procesadores). Recomendación para la mayoría de algos n = núcleos - 1"
"MinerForm.CpuMinerConfig.Text3","establecer la afinidad del proceso con los núcleos de la CPU, máscara 10 (0xA) para los núcleos 1 y 3"
"MinerForm.CpuMinerConfig.Text4","temperatura en grados Celsius (el valor predeterminado es 85), Parará el minero"
"MinerForm.Server","Para las piscinas de conmutación por error simplemente escríbalos en la siguiente línea, el pase se usa uno para todos."
"MinerForm.DstmConf.Text1","Puedes poner aquí algo así como"
"MinerForm.DstmConf.Text2","Lista separada por comas de dispositivos cuda"
"MinerForm.DstmConf.Text3","Reduce la carga, lista separada por comas de dev_id: valores de intensidad"
"MinerForm.DstmConf.Text4","La carga de trabajo de cada GPU se ajustará continuamente para que la temperatura permanezca alrededor de este valor. Lista separada por comas de los valores dev_id:temp-target, p. Ej."
"MinerForm.EthServ.Text1","Para trabajar, use uno de los siguientes esquemas"
"MinerForm.EthServ.Text2","Para el estrato usa uno de los siguientes esquemas"
"MinerForm.EthServ.Text3","Ejemplos"
"MinerForm.EthConf.Text1","Puedes poner aquí algo así como"
"MinerForm.EthConf.Text2","qué dispositivos OpenCL para minar en"
"MinerForm.EthConf.Text3","que dispositivos CUDA para minar en"
"MinerForm.EwbtConf.Text1","Ponle parámetros adicionales a la configuración si lo necesitas. Uno en cada línea en el siguiente formato sin comas o puntos al final de la línea. Parámetros de ejemplo"
"MinerForm.EwbtConf.Text2","usar solo GPU específicas"
"MinerForm.EwbtConf.Text3","para establecer un límite de temperatura personalizado"
"MinerForm.LolConf.Text1","Puedes poner aquí algo así como"
"MinerForm.LolConf.Text2","Lista de dispositivos separados por comas"
"MinerForm.OptiConf.Text1","Puedes poner aquí algo así como"
"MinerForm.OptiConf.Text2","ID de dispositivo OpenCL para usar. Si no se especifican dispositivos, se utilizan todos"
"MinerForm.OptiConf.Text3","La id de la plataforma OpenCL para usar"
"MinerForm.OptiConf.Text4","Intensidad del minero 0 significa autodetección en función de la memoria disponible"
"MinerForm.XmConf.Text1","Ponle parámetros adicionales a la configuración si lo necesitas. Uno en cada línea en el siguiente formato sin comas o puntos al final de la línea. Parámetros de ejemplo"
"MinerForm.XmConf.Text2","reduce el uso de la CPU del 75% al 50%"
"MinerForm.XmConf.Text3","Otros parámetros encuentran en"
"MinerForm.XmConf.Text4","xmrig doc"
"MinerForm.XmUrl.Text1","La dirección de la piscina debe estar en la forma"
"MinerForm.XmUrl.Text2","Solo se admiten piscinas de estrato"
"MinerForm.XmUrl.Text3","Para los piscinas de conmutación por error simplemente escríbalos en la línea siguiente, el pase se usa uno para todos"
"MinerForm.XmStakCpuUrl.Text1","La dirección de la piscina debe estar en la forma"
"MinerForm.XmStakCpuUrl.Text2","Sólo piscinas estrato son compatibles"
"MinerForm.XmrAmd.Text1","Contenidos completos de amd.txt, ejemplo a continuación"
"MinerForm.XmrAmd.Text2","Para deshabilitar las GPU de AMD"
"MinerForm.XmrAmd.Text3","Guía de Tuning"
"MinerForm.XmrNvidia.Text1","Contenido completo de nvidia.txt, ejemplo a continuación"
"MinerForm.XmrNvidia.Text2","Para deshabilitar las GPU de Nvidia"
"MinerForm.XmrNvidia.Text3","Guía de Tuning"
"MinerForm.XmrCpu","Contenidos completos de cpu.txt, ejemplo a continuación"
"per","para"
"OC.DefaultConfig","Configuración predeterminada"
"OC.DefaultHint","Usado por defecto. Puede ser anulado por algo configuración"
"Account.AuthenticationTokenCurrent","Tokens de sesión actuales"
"Account.AuthenticationTokenOther","Otros tokens de sesión"
"Enter amount","Ingrese cantidad"
"Send","Enviar"
"Revoke","anular"
"Monitor","Monitor"
"Tech","Tech"
"AccessLevel.Monitor","Monitor y estadísticas, detalles del minero. Las etiquetas se pueden asignar para limitar la visibilidad de los mineros de la cuenta de confianza."
"AccessLevel.Tech","Overclock, Reiniciar y Apagar, Actualizar."
"AccessLevel.Rocket","Aplica minero y cartera al minero. Crear y eliminar mineros."
"AccessLevel.Advanced","Ejecutar comandos, VPN, Carteras, Tuning."
"AccessLevel.Full","Contraseña, 2FA, Notificaciones, Pagos, Propiedad."
"Full Access","Acceso completo"
"Advanced","Avanzado"
"CompactView.Status.InvalidShares","Baja relación o acciones inválidas"
"CompactView.Status.HightTemperature","Alta temperatura"
"CompactView.Status.LowHashrate","Bajo hashrate"
"Load Avg","Promedio de Cargar"
"Subscribed","Suscrito"
"Create Flight Sheets","Crear hojas de vuelo"
"Worker.FlightSheets.epmtyMessage","Para empezar a minar"
"FS.ActiveFSEdit","Esta hoja de vuelo está activa."
"FS.ApplyAll","Todos los mineros"
"FS.AttachedWorlers","Mineros anexos"
"FS.ChangesWillBeApplied","Los cambios se aplicarán a todos los mineros que usen este grupo."
"FS.NewFSWillBeCreated","Se creará un nuevo grupo para este minero y se aplicará solo a él."
"FS.OnlyThis","Solo este minero"
"Account.WhiteList","Lista blanca"
"Account.WhiteListHint","Aquí puede limitar las direcciones IP que permitieron iniciar sesión en su cuenta. Los valores están separados por espacios."
"Account.WhiteListHint2","Su dirección IP actual es."
"Account.WhiteListHint3","Las comprobaciones básicas se realizan en el servidor para que no se corte."
"Account.WhiteListExamples","Ejemplos:"
"Account.WhiteListExample1","una sola dirección IP está permitida"
"Account.WhiteListExample2","dos IP están permitidos"
"Account.WhiteListExample3","coincidirá con cualquier IP con 172.217.16."
"Account.WhiteListExample4","coincidirá con cualquier IP que comience con 172.217.d"
"Account.WhiteListExample5","dirección única IPV6"
"Account.WhiteListExample6","coincidirá con cualquier dirección IPV6 a partir  2001:db8::"
"Account.WhiteListPlaceholder","Ingrese la dirección IP"
"Account.WhiteListAddNewPlaceholder","Ingresa una nueva dirección IP"
"CoinPaymentsDeposits","Depósitos de CoinPayments"
"Billing.TransactionFee","Agregar TARIFA DE TRANSACCIÓN a la cantidad especificada"
"Billing.FAQ","Preguntas frecuentes sobre pagos"
"WorkerSettings.GuiTurnedOn","GUI habilitada"
"WorkerSettings.GuiTurnedOff","GUI deshabilitado"
"VPN.TurnedOn","VPN activado"
"VPN.TurnedOff","VPN desactivado"
"Are you shure?","¿Estás seguro?"
"Account.AuthenticationTwoFactor5","Google Authenticator no es la mejor opción, ya que si pierde el teléfono, sus códigos desaparecerán. Un consejo sería usar"
"BillingFarm.DaysUntil","Días que la granja está bloqueada"
"BillingFarm.ToLock","días para bloquear"
"AMD","AMD"
"Card Types","Tipos de tarjeta"
"TEMP","TEMPERATURA"
"FAN","VENTILADOR"
"Core","Núcleo"
"MEM","MEM"
"FlightSheets.ToManage","Para administrar sus carteras vaya a"
"FlightSheets.WalletsPage","Página de carteras"
"FS.WallAddress","Dirección de Cartera"
"Claymore User Config","Configuración de usuario Claymore"
"2FA.ON","Autenticación de dos factores activada"
"2FA.OFF","Autenticación de dos factores desactivada"
"Account.TwoFactorDisableDescription","Ingrese el código para deshabilitar 2FA. El código QR guardado (secreto) ya no funcionará, puedes eliminarlo después."
"MinerForm.Custom.InstallationUrl","URL de instalación"
"MinerForm.Custom.MinerName","Nombre del minero"
"AutoFans.ON","Ventilador automático activado"
"AutoFans.OFF","Ventilador automático apagado"
"AutoFans.TargetTemp","Temperatura objetivo"
"AutoFans.MinFan","Velocidad mínima del ventilador"
"AutoFans.MaxFan","Velocidad máxima del ventilador"
"AutoFans.Critical","Temperatura crítica"
"AutoFans.NoAMDLabel","No AMD"
"AutoFans.RebootOnErrors","Reiniciar en los errores"
"WDConfig.Minutes","minutos"
"WDConfig.MinerRestart","Minero reiniciar después"
"WDConfig.RebootAfter","Reiniciar la plataforma después"
"Server","Servidor"
"Pass","Contraseña"
"Port","Puerto"
"Template","Plantilla"
"Server Urls","URL del servidor"
"PersonalToken.Placeholder","Ingrese el nombre del token personal"
"2FA Disabled","2FA desactivado"
"2FA Enabled","2FA habilitado"
"Discount","Descuento"
"Monthly price","Precio mensual"
"Daily use","Uso diario"
"Payments.DailyRigsUse","Uso diario Rigs"
"Payments.DailyRigsPrice","Precio diario Rigs"
"Payments.DailyAsicsPrice","Precio diario ASIC"
"Payments.DailyAsicsUse","Uso diario ASIC"
"Payments.Refill","Para volver a llenar su saldo, visite"
"rig","rig"
"Coin.TypeIn","Escriba la Moneda"
"CoinPaymentsDeposits.ShowAll","Mostrar todos los depósitos"
"gained","gained"
"subscribed","suscrito"
"OverclockingAlgoTable.CcAlgoResolved","Haga clic en Agregar para configurar el overclocking a este algo"
"Algo","Algo"
"Billing Page","Página de facturación"
"Select algo","Seleccionar algo"
"more","Más"
"PaymentsList.CheckStatus","Verifica tu estado de pago"
"AsicTable.Chain","Cadena"
"AsicTable.ASIC","ASIC"
"AsicTable.Frequency","Frecuencia"
"AsicTable.HW","HW"
"AsicTable.Temp","Temperatura"
"AsicTable.ASICStatus","Estado de ASIC"
"FilterWallets.more","más carteras"
"Tuned","Afinado"
"MiningInfo.Title","Información mineria"
"MiningInfo.Tuned","Minero afinado"
"OverclockingAlgoTable.more","Más"
"PowerGraph.Power","Energía"
"The latest","Lo último"
"for","para"
"PoolConfigModal.EnterUrls","Ingresar URL"
"Intensity:","Intensidad:"
"Wallet Address","Dirección de Cartera"
"Dcoin","Dcoin"
"Example for nanopool","Ejemplo para nanopool"
"WalletWorkTemplate:","Plantilla de cartera y minero:"
"dstm 0.6.0 had changed config syntax","dstm 0.6.0 había cambiado la sintaxis de configuración"
"Action.OCUpdated","El perfil de overclocking se ha actualizado con éxito."
"Action.OCRemoved","Perfil de overclocking eliminado con éxito"
"Worker added","Minero agregado"
"Worker removed","Minero eliminado"
"Worker updated successfully","Minero actualizado con éxito"
"Password successfully updated","Contraseña actualizada con éxito"
"Worker has been transferred","Minero ha sido transferido"
"Action.RemoveAllWorkersMessages","Todos los mensajes de los mineros han sido eliminados"
"Action.NowFarmYours","Ahora la granja te pertenece"
"Action.RequestRejected","La solicitud ha sido rechazada con éxito"
"Action.LoginInvalid","acceso no válido"
"Action.KeyUpdated","API KEY actualizada"
"Action.KeyRemoved","API KEY eliminado"
"Action.KeyAdded","API KEY añadido"
"Action.YouUnsubscribed","Has cancelado la suscripción"
"Action.YouSubscribed","Usted se suscribió con éxito"
"Action.WorkerUpdated","Minero actualizado con éxito"
"Url","Url"
"Should be selected at least one server","Debería seleccionarse al menos un servidor"
"Filed is required","Se requiere campo"
"NewRig","¡Parece algo nuevo!  Prepara el 🚀 para el 🌕"
"NewRig.Read","Por favor lea el"
"NewRig.Read2","guía de instalación"
"NewRig.Read3","sobre cómo configurar tu trabajador"
"or","o"
"InfoWorker.Password","La contraseña debe tener 1 o más caracteres."
"discount","descuento"
"RemoveWorkerModal.Text1","Vas a eliminar mineros"
"RemoveWorkerModal.Text2","¡Los mineros eliminados NO PUEDEN ser restaurados! ¿Estás ABSOLUTAMENTE seguro?"
"RemoveWorkerModal.Text3","Esta acción puede conducir a la pérdida de datos. Para evitar acciones accidentales, le pedimos que confirme su intención"
"Workers removed","Mineros eliminados"
"Shut down worker?","¿Apagar minero?"
"Shut down workers?","¿Apagar mineros?"
"High Load Avg.","Alta carga media."
"Payments.PricePerRig","Precio por Rig"
"Payments.PricePerAsic","Precio por Asic"
"30 minutes","30 minutos"
"1 hour","1 hora"
"From farm balance","Saldo de la granja"
"Connect via","Conectado a través de"
"ConsoleCommand.Hello","saluda al servidor para actualizar los datos"
"ConsoleCommand.Dmesg","muestra información sobre la carga del núcleo y los controladores"
"ConsoleCommand.BminerApi","muestra la información api bminer"
"ConsoleCommand.CgminerApi","muestra la información api cgminer"
"ConsoleCommand.Selfupgrade","actualiza a la última versión"
"ConsoleCommand.InnosiliconEnableCron","habilite el reinicio de cgminer una vez cada 24 h (solo para Innosilicon)"
"YourFunds","Sus fondos "
"FarmBalance","Saldo Farm"
"RefillBalance","Saldo Referido"
"RefillMethod","Elija un método para recargar"
"Coinpayments","CoinPayments"
"MyDeposit","Mi depósito"
"OtherFarms","Otras granjas"
"Referal","Referido"
"AddFee","Agregar tarifa de transacción a la cuenta especificada"
"WhatIsFee","¿Qué es la tarifa de transacción?"
"RefillFromDeposit","Puede recargar la granja de su depósito"
"BillingInformation","La información de facturación se actualiza diariamente."
"DownloadInvoiceInfo","Puede descargar la factura para el período elegido."
"PaidFeatures","Funciones de pago"
"PaidFeaturesSSL","Comunicación segura con API a través de HTTPS"
"PaidFeaturesStats","Las estadísticas mostraron los últimos 3 meses de uso comparables a 3 días para los no pagos"
"Invoices","Facturas"
"PaidFeaturesEnabled","Funciones de pago habilitadas"
"PaidFeaturesDisabled","Funciones pagas desactivadas"
"Payer","Pagador"
"PayerInfo","Puede configurar que otro usuario sea responsable de depositar las granjas que posee. Este usuario puede ser su administrador financiero y solo necesita monitorear el acceso a las granjas."
"PayerTransfer","Transferir la responsabilidad de la facturación de la granja"
"PayerUser","Establecer otro usuario como pagador"
"Debt","Deuda"
"AutomaticWithdraw","Sus fondos retirarán automáticamente los fondos en la cantidad de uso diario de Sus Fondos después de que haya alcanzado el saldo cero."
"Use deposit, $","Utilizar depósito, $"
"TransferPaymentOwnership","Puede transferir la propiedad de pago de las granjas a otros"
"ManualyTransfer","Puede transferir fondos manualmente desde su depósito a la granja o al usuario"
"YourDepositUsage","Su depósito utilizado por retiro automático predeterminado para todas las granjas donde usted es el propietario"
"RefillDeposit","Depósito de recarga"
"BillingFAQ","Preguntas frecuentes sobre facturación"
"IncomingPayerRequest","¿Aceptas pagar las próximas granjas?"
"Action.TransferPayerRole","La solicitud de cambio de pagador ha sido enviada"
"Billing.transferTargetPayerText","Ya ha enviado una solicitud de pago a"
"AutoFans.CriticalAction","Acción Crítica"
"AutfanTTHint","Los ventiladores de los controles automáticos. Los valores Claymore -tt son ignorados."
"GPURedTemp","Temperatura GPU"
"AsicRedTemp","Temperatura ASIC"
"MonitorThreshold","Umbral del monitor"
"SignIn","Registrarse"
