"link","連結"
"MinerForm.UserConfig.Text1","如果需要，在配置文件中加入更多的參數。每一條單獨一行，最後不要加逗號或句號。參考已生成的配置文件獲取可用的挖礦軟件配置值。"
"MinerForm.UserConfig.Text2","設定頻率"
"MinerForm.UserConfig.Text3","設定電壓"
"MinerForm.UserConfig.Text4","挖礦軟件API可用的方法"
"MinerForm.BMinerConfig.Text1","你可以在這輸入內容，如"
"MinerForm.BMinerConfig.Text2","用空格間隔CUDA設備名單"
"MinerForm.BMinerConfig.Text3","更多選項"
"MinerForm.BMinerConfig.Text4","Bminer參考"
"MinerForm.Fork.List","分叉的詳細列表"
"MinerForm.Fork.here","這裡"
"MinerForm.Fork.Run","運行"
"MinerForm.Fork.Check","查看分叉更新"
"MinerForm.Algo.Which","選擇哪個算法挖礦"
"MinerForm.Algo.ItShould","應該是"
"MinerForm.Algo.Example","舉例來說"
"MinerForm.InstallUrl.Where","URL哪裡獲取"
"MinerForm.InstallUrl.Package","數據包。如果已經安裝了將不會被下載"
"MinerForm.Miner","這是安裝好的挖礦軟件的名稱，如"
"MinerForm.CCPoolExtra","如果需要，在礦池選項加入更多的參數。每一條單獨一行，最後不要加逗號或句號。示例參數："
"MinerForm.CCExtra.Text1","如果需要，在挖礦軟件選項加入更多的參數。每一條單獨一行，最後不要加逗號或句號。示例參數："
"MinerForm.CCExtra.Text2","協議層活動冗長的贅述"
"MinerForm.CCExtra.Text3","用空格間隔CUDA設備名單"
"MinerForm.CGMInerConf.Text1","如果需要，在配置文件加入更多的參數。每一條單獨一行，最後不要加逗號或句號。"
"MinerForm.CGMInerConf.Text2","關閉風扇控制"
"MinerForm.CGMInerConf.Text3","Cryptonight的示例參數"
"MinerForm.CGMInerConf.Text4","Ethash的示例參數"
"MinerForm.CGMInerConf.Text5","查看錯誤"
"MinerForm.CGMInerConf.Text6","選擇設備使用，用一個值，範圍和/或逗號分隔(如0-2,4)"
"MinerForm.CGMinerFork.Text1","您需要嘗試不同的版本，因為部分可能不適用於一些算法或者礦池"
"MinerForm.CGMinerFork.Text2","並且嘗試添加"
"MinerForm.CGMinerFork.Text3","和"
"MinerForm.CGMinerFork.Text4","在配置文件中查看詳細信息來檢查錯誤"
"MinerForm.CGMinerFork.Text5","分叉的詳細列表"
"MinerForm.CGMinerFork.Text6","這裡"
"MinerForm.DpoolTpl.Text1","nanopool上的SIA示例"
"MinerForm.DpoolTpl.Text2","用您自己錢包的地址替代。請閱讀礦池幫助文檔獲取更多信息。"
"MinerForm.ClaymoreDescr.Text1","Decred/Siacoin/Lbry/Pascal 強度，默認是30"
"MinerForm.ClaymoreDescr.Text2","對於PASC的合理值約10，SIA約15。更高的值將會導致ETH挖礦效率下降。"
"MinerForm.ClaymoreConfig.Text1","在這裡添加您想要的Claymore配置文件(config.txt)內的設定，每行一條。例如"
"MinerForm.ClaymoreConfig.Text2","將會設定風扇速度為100%"
"MinerForm.ClaymoreConfig.Text3","將目標溫度設為65度"
"MinerForm.ClaymoreConfig.Text4","關閉風扇控制"
"MinerForm.ClaymoreConfig.Text5","使用GPU 3，4，10，11"
"MinerForm.ClaymoreConfig.Text6","請參考"
"MinerForm.ClaymoreConfig.Text7","Claymore文件"
"MinerForm.ClaymoreConfig.Text8","其他設定"
"MinerForm.CpuMinerConfig.Text1","如果需要，在配置文件加入更多的參數。每一條單獨一行，最後不要加逗號或句號。示例參數："
"MinerForm.CpuMinerConfig.Text2","挖礦軟件線程數量(默認：處理器的數量)。建議最大算法數=核心數-1"
"MinerForm.CpuMinerConfig.Text3","為CPU核心設定運行緊密度，對於核心數為1和3的模糊10 (0xA)"
"MinerForm.CpuMinerConfig.Text4","攝氏溫度(默認是85)，停止挖礦"
"MinerForm.Server","對於備用礦池只需寫在下一行，不寫默認全部使用同一個"
"MinerForm.DstmConf.Text1","你可以在這裡輸入內容，如"
"MinerForm.DstmConf.Text2","用空格間隔CUDA設備名單"
"MinerForm.DstmConf.Text3","減少負載，可用逗號間隔dev_id:intensity值列表"
"MinerForm.DstmConf.Text4","每張GPU的負載將持續地被調整，以致溫度穩定在這個值。可用逗號間隔dev_id:temp-target值列表，例如"
"MinerForm.EthServ.Text1","對於getwork，使用如下計劃之一"
"MinerForm.EthServ.Text2","對於Stratum，使用如下計劃之一"
"MinerForm.EthServ.Text3","示例"
"MinerForm.EthConf.Text1","你可以在這裡輸入內容，如"
"MinerForm.EthConf.Text2","用哪個OpenCL設備挖礦"
"MinerForm.EthConf.Text3","用哪個CUDA設備挖礦"
"MinerForm.EwbtConf.Text1","如果需要，在配置文件加入更多的參數。每一條單獨一行，最後不要加逗號或句號。示例參數："
"MinerForm.EwbtConf.Text2","來僅使用指定的GPU"
"MinerForm.EwbtConf.Text3","來設定自定義的溫度限制"
"MinerForm.LolConf.Text1","你可以在這裡輸入內容，如"
"MinerForm.LolConf.Text2","逗號間隔的設備列表"
"MinerForm.OptiConf.Text1","你可以在這裡輸入內容，如"
"MinerForm.OptiConf.Text2","要使用的OpenCL設備ID。如果沒有指定設備，全部將會被使用"
"MinerForm.OptiConf.Text3","要使用的OpenCL平台ID"
"MinerForm.OptiConf.Text4","礦機強度：0表示依據可用內存自動檢測"
"MinerForm.XmConf.Text1","如果需要，在配置文件加入更多的參數。每一條單獨一行，最後不要加逗號或句號。示例參數："
"MinerForm.XmConf.Text2","減少CPU佔用從75%到50%"
"MinerForm.XmConf.Text3","其他參數在"
"MinerForm.XmConf.Text4","xmrig文檔"
"MinerForm.XmUrl.Text1","礦池地址應填寫在表格中"
"MinerForm.XmUrl.Text2","只支持Stratum礦池"
"MinerForm.XmUrl.Text3","對於備用礦池只需寫在下一行，不寫默認全部使用同一個"
"MinerForm.XmStakCpuUrl.Text1","礦池地址應填寫在表格中"
"MinerForm.XmStakCpuUrl.Text2","只支持Stratum礦池"
"MinerForm.XmrAmd.Text1","amd.txt的全部內容，示例如下"
"MinerForm.XmrAmd.Text2","停用AMD GPUs"
"MinerForm.XmrAmd.Text3","調試指南"
"MinerForm.XmrNvidia.Text1","nvidia.txt的全部內容，示例如下"
"MinerForm.XmrNvidia.Text2","停用Nvidia GPUs"
"MinerForm.XmrNvidia.Text3","調試指南"
"MinerForm.XmrCpu","cpu.txt的全部內容，示例如下"
"per","每"
"OC.DefaultConfig","默認配置"
"OC.DefaultHint","默認使用，可以被算法配置覆蓋。"
"Account.AuthenticationTokenCurrent","當前Session Tokens"
"Account.AuthenticationTokenOther","其他Session Tokens"
"Enter amount","輸入金額"
"Send","發送"
"Revoke","撤回"
"Monitor","監控"
"Tech","技術"
"AccessLevel.Monitor","監控和統計礦機的詳細信息。對於信任的賬號可以給有限數量的礦機添加可視的標籤。"
"AccessLevel.Tech","超頻，系統重啟，關停和升級"
"AccessLevel.Rocket","應用挖礦軟件和錢包到礦機。創建和刪除礦機。"
"AccessLevel.Advanced","執行命令，VPN，錢包，調試"
"AccessLevel.Full","密碼，雙重認證，提醒，充值，所有權。"
"Full Access","全部權限"
"Advanced","高級"
"CompactView.Status.InvalidShares","低比率或無效份額"
"CompactView.Status.HightTemperature","高溫"
"CompactView.Status.LowHashrate","低算力"
"Load Avg","加載平均值"
"Subscribed","訂閱"
"Create Flight Sheets","創建Flight Sheet"
"Worker.FlightSheets.epmtyMessage","開始挖礦"
"FS.ActiveFSEdit","這個Flight Sheet有效"
"FS.ApplyAll","全部礦機"
"FS.ChangesWillBeApplied","修改將會被應用到使用這個FS的全部礦機"
"FS.NewFSWillBeCreated","新的FS將會被創建並只應用到這台礦機"
"FS.OnlyThis","僅這台礦機"
"Account.WhiteList","白名單"
"Account.WhiteListHint","你可以在這裡限制登錄您賬號的IP數量。數值用空格間隔。"
"Account.WhiteListHint2","您當前的IP地址"
"Account.WhiteListHint3","基礎檢查在服務器上完成，所以您不會自己掉線。"
"Account.WhiteListExamples","示例："
"Account.WhiteListExample1","允許1個IP地址"
"Account.WhiteListExample2","允許2個IP地址"
"Account.WhiteListExample3","將會匹配任何172.217.16開頭的IP"
"Account.WhiteListExample4","將會匹配任何172.217.d開頭的IP"
"Account.WhiteListExample5","單個IPV6地址"
"Account.WhiteListExample6","將會匹配任何2001:db8::開頭的IPV6地址"
"Account.WhiteListPlaceholder","輸入IP地址"
"Account.WhiteListAddNewPlaceholder","輸入新的IP地址"
"Worker.FlightSheets.epmtyMessage","開始挖礦"
"FS.ActiveFSEdit","這個Flight Sheet是活躍的"
"CoinPaymentsDeposits","虛擬貨幣儲蓄"
"Billing.TransactionFee","為指定金額添加交易手續費"
"Billing.FAQ","充值常見問題"
"WorkerSettings.GuiTurnedOn","GUI開啟"
"WorkerSettings.GuiTurnedOff","GUI關閉"
"VPN.TurnedOn","VPN開啟"
"VPN.TurnedOff","VPN關閉"
"Are you shure?","你確定嗎？"
"Account.AuthenticationTwoFactor5","Google驗證器不是最好的選擇，正如你如果丟失手機你的碼就沒了。我們建議使用"
"BillingFarm.DaysUntil","礦場鎖定前剩余天數"
"BillingFarm.ToLock","鎖定前剩余天數"
"AMD","AMD"
"Card Types","顯卡類型"
"TEMP","溫度"
"FAN","風扇"
"Core","核心"
"MEM","顯存"
"FlightSheets.ToManage","管理你的錢包，前往"
"FlightSheets.WalletsPage","錢包頁面"
"FS.WallAddress","錢包地址"
"Claymore User Config","Claymore用戶配置"
"2FA.ON","二步驗證開啟"
"2FA.OFF","二步驗證關閉"
"Account.TwoFactorDisableDescription","輸入這個碼關閉二步驗證。保存二維碼(私密的)將不再有效，你隨後可以刪除它。"
"MinerForm.Custom.InstallationUrl","安裝鏈接"
"MinerForm.Custom.MinerName","挖礦軟件名稱"
"AutoFans.ON","自動風扇開啟"
"AutoFans.OFF","自動風扇關閉"
"AutoFans.TargetTemp","目標溫度"
"AutoFans.MinFan","最小風扇速度"
"AutoFans.MaxFan","最大風扇速度"
"AutoFans.Critical","致命溫度"
"AutoFans.NoAMDLabel","無AMD"
"AutoFans.RebootOnErrors","遇到錯誤重啟"
"WDConfig.Minutes","分鐘"
"WDConfig.MinerRestart","挖礦軟件重啟緊接於"
"WDConfig.RebootAfter","重啟礦機緊接於"
"Server","服務器"
"Pass","跳過"
"Port","端口"
"Template","溫度"
"Server Urls","服務器URL"
"PersonalToken.Placeholder","輸入個人Token的名稱"
"2FA Disabled","二步驗證已關閉"
"2FA Enabled","二步驗證已開始"
"Discount","折扣"
"Monthly price","月度價格"
"Daily use","每日使用"
"Payments.DailyRigsUse","每日礦機使用"
"Payments.DailyRigsPrice","每日礦機價格"
"Payments.DailyAsicsPrice","每日ASIC價格"
"Payments.DailyAsicsUse","每日ASIC使用"
"Payments.Refill","充值您的賬戶，請訪問"
"rig","礦機"
"Coin.TypeIn","輸入幣名"
"CoinPaymentsDeposits.ShowAll","顯示所有的儲蓄"
"gained","獲得的"
"OverclockingAlgoTable.CcAlgoResolved","給這個算法添加超頻設定"
"Algo","算法"
"Billing Page","賬單頁面"
"Select algo","選擇算法"
"more","更多"
"PaymentsList.CheckStatus","查看充值狀態"
"AsicTable.Chain","鏈"
"AsicTable.ASIC","ASIC"
"AsicTable.Frequency","頻率"
"AsicTable.HW","HW"
"AsicTable.Temp","溫度"
"AsicTable.ASICStatus","ASIC狀態"
"FilterWallets.more","更多錢包"
"Tuned","已調試"
"MiningInfo.Title","挖礦信息"
"MiningInfo.Tuned","已調試挖礦軟件"
"OverclockingAlgoTable.more","更多"
"PowerGraph.Power","功率"
"The latest","最新的"
"for","對於"
"PoolConfigModal.EnterUrls","輸入URL"
"Intensity:","強度："
"Wallet Address","錢包地址"
"Dcoin","副幣"
"Example for nanopool","nanopool示例"
"WalletWorkTemplate:","錢包和礦機模版"
"dstm 0.6.0 had changed config syntax","dstm 0.6.0已更改配置語法"
"Action.OCUpdated","超頻配置文件更新成功"
"Action.OCRemoved","超頻配置文件移除移除"
"Worker added","礦機已添加"
"Worker removed","礦機已移除"
"Worker updated successfully","礦機更新成功"
"Password successfully updated","密碼更新成功"
"Worker has been transferred","礦機已轉移"
"Action.RemoveAllWorkersMessages","所有礦機消息已移除"
"Action.NowFarmYours","現在開始您擁有這個礦場"
"Action.RequestRejected","請求被拒絕"
"Action.LoginInvalid","無效登錄"
"Action.KeyUpdated","API KEY已升級"
"Action.KeyRemoved","API KEY已移除"
"Action.KeyAdded","API KEY已添加"
"Action.YouUnsubscribed","您已成功取消關注"
"Action.YouSubscribed","您已成功訂閱"
"Action.WorkerUpdated","礦機升級成功"
"Url","網址"
"Should be selected at least one server","至少需要選擇一個服務器"
"Filed is required","必填"
"NewRig","全新表現，不同凡響！"
"NewRig.Read","請閱讀"
"NewRig.Read2","安裝指南"
"NewRig.Read3","如何設置您的礦機"
"or","或"
"InfoWorker.Password",""
"discount",""
"RemoveWorkerModal.Text1",""
"RemoveWorkerModal.Text2",""
"RemoveWorkerModal.Text3",""
"Workers removed",""
"Shut down worker?",""
"Shut down workers?",""
"High Load Avg.",""
